"P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22","P_23","P_24","P_25","P_26","P_27"
1080.38997765719,1020.70413297869,978.321082207883,973.581574541363,959.412762570876,1157.23283702579,1284.10013579191,1407.67011169856,1418.09662253157,1437.38408367151,1584.53577647256,2373.45103985002,1744.66727573978,1897.79300503029,1990.90175056731,774.207410598294,1943.71330529691,4179.65899635506,5488.06674675006,7385.63637970839,7614.44742228882,8115.68011548624,8289.56239993296,7270.38809763724,7353.07065332209,8397.3925133661,7405.64116728955
1081.85181734182,1021.90080852706,977.98779077377,973.762595618136,964.468870430903,1147.90408420727,1254.78614362962,1401.83132651532,1397.55167130018,1444.33859095363,1573.14643931937,2665.57912110466,1746.80597059329,1970.38248995936,2122.82257933589,925.842395509392,2140.78770470186,4383.65646755195,5739.84658375294,7542.03096302119,7711.40271534008,8172.07685742885,8319.33825447309,7302.69496025825,7332.69257335616,8401.16349953274,7391.02616743009
1083.17756889985,1022.6967693409,977.527719679034,973.623012172771,969.064686585128,1135.45059423505,1225.39939606644,1396.47620965488,1370.74264044595,1459.59813493596,1590.17643902769,3049.56712209082,1759.42308118388,2135.84260141873,2344.86796112992,1063.016812301,2467.52690393831,4611.16958309069,5991.0879285331,7650.64410290642,7803.66505997437,8225.06662618559,8327.24702799484,7324.24538313599,7312.98533027591,8362.72319450808,7351.84549140664
1084.36202043296,1023.08924534246,976.943849331816,973.14575608184,966.101634806356,1132.95282721796,1209.50624136681,1401.22976541026,1353.68004656758,1496.20667783391,1672.86841990727,3496.35364196863,1806.6006640271,2422.45678598141,2674.5458975081,1181.17168543902,2941.00060560431,4857.0264540107,6234.52593010866,7712.7175624577,7888.76295580423,8274.12647822281,8308.92491114141,7333.19509293875,7295.22144767609,8274.6202573504,7289.02905880052
1085.40112175765,1023.04755321226,976.216408536145,972.310054118741,958.317030354543,1140.78282963308,1213.43504893853,1415.46862647545,1361.75609410095,1572.74789149908,1798.43896055802,3990.43112868636,1902.75575852939,2814.3182982143,3108.95684782749,1276.89870441653,3560.52163775514,5112.93577995652,6461.49036449417,7733.50973857546,7964.70705086027,8319.2449886647,8264.76485671823,7332.70536260467,7281.59768944874,8143.71497209647,7214.26157949489
1086.2041465327,1022.54796404533,975.364891181662,971.083626870579,949.54479585999,1143.69979353995,1222.40057700947,1417.16839055932,1403.02543006978,1658.57793304919,1931.73285733532,4508.45927072315,2064.90437938297,3273.98529927116,3618.6885500846,1348.48164755154,4284.97793630504,5366.84869291831,6662.55693724855,7720.69845689773,8029.81767372922,8360.81257408472,8200.82515374295,7331.6528165566,7275.32932194272,7994.33814904289,7148.71403116314
1086.71794033109,1021.55955125613,974.393447017752,969.446469799273,938.846565306374,1139.51374161011,1226.78542345766,1415.83045353029,1491.30625680421,1760.68699407346,2082.85527133309,5045.57119946215,2306.0006824254,3770.04490092983,4147.61899100208,1397.41484604735,5053.71406348865,5609.47345278193,6830.93942566775,7687.03947797445,8083.28286485182,8399.737249505,8131.03524684394,7329.45579967334,7280.37616459989,7862.04297237039,7109.79634752254
1086.86787229798,1020.08420113476,973.329073108581,967.419423829446,929.86332246757,1131.52899692085,1223.21669708096,1442.07537340169,1658.85804994529,1892.06068324077,2265.19946994266,5587.85652285543,2623.89817853792,4250.60449710425,4672.06929804943,1428.16457450468,5791.51368198552,5835.93273485305,6964.2777020574,7645.26457101417,8124.33894848806,8437.19902852735,8061.71347305305,7325.67226590881,7296.73613293363,7794.86711999884,7121.85835548166
1086.62208612473,1018.16370535925,972.205545865798,965.050949981255,921.121342247949,1137.11427755045,1237.49233922459,1522.39606318903,1889.2221867944,2062.69763868657,2530.88473165062,6103.06530703411,2968.42400568944,4706.00001186769,5178.0706516926,1445.79839478596,6445.23939624229,6043.48351116669,7061.63110720593,7613.91047689264,8152.58910910231,8471.55913221287,8007.53989379139,7322.11161700034,7323.68311143849,7776.9989809446,7191.93496981216
1085.91924884961,1015.8219230804,971.025154631504,962.391741898044,913.863963206262,1166.25506985795,1281.8504954172,1645.71094905351,2106.73657443089,2261.12857991512,2823.03184984243,6553.54915555292,3337.86972229324,5113.20412888842,5640.43937880439,1455.30738379846,6961.01617162668,6229.14526745281,7123.58724228528,7576.50751896495,8168.24344352565,8501.15186671016,7994.51304351322,7325.84984822586,7360.33703336852,7797.80136486678,7300.89643186124
1084.75223775513,1013.13577071744,969.792679307664,959.474058266313,904.382172250865,1194.49117770003,1328.97033643356,1693.75825244927,2263.69054283404,2460.38536054299,3138.02452504234,6913.71721179659,3767.89923929959,5470.94260834552,6047.65716828224,1459.25405735195,7321.45232954781,6390.61701558635,7153.58771699784,7530.67028445358,8172.12002013218,8525.05790812689,8000.55517782676,7338.23587072907,7403.42688813797,7852.59210246691,7434.04518396484
1083.16772061451,1010.17714652187,968.505747369654,956.335254572603,898.847784144388,1224.49616853415,1369.32474873785,1721.21959861923,2404.36355671359,2694.63805177306,3479.3314248087,7168.13847517342,4256.0563561691,5733.27619003616,6369.55937690064,1454.40195536071,7553.55581811458,6524.90891403877,7157.4599515413,7482.26953632112,8165.24844405457,8542.5289173995,8011.85877541949,7364.58949023775,7450.58063697638,7940.99181591929,7584.24526264238
1081.23672831272,1007.03371182164,967.172866078868,953.01060414081,899.317357890384,1266.76451345709,1414.33113378959,1792.15105216274,2509.98809704159,2900.50756748771,3760.28991402117,7314.25906423067,4742.12631961458,5893.11850302128,6606.99651645965,1437.45136478359,7700.30565321617,6629.27730140009,7142.60465226294,7450.09128804392,8149.33051876378,8552.72024875244,8025.4426358509,7397.92474724015,7500.07647383367,8043.31009566067,7744.70727796965
